stamp,seq_tw,drone_position_x,drone_position_y,drone_position_z,drone_position_qx,drone_position_qy,drone_position_qz,drone_position_qw,yolo_label,yolo_xmin,yolo_xmax,yolo_ymin,yolo_ymax,yolo_confidence,object_global_position_2d_x,object_global_position_2d_y,object_global_position_2d_z
1628079694.608116,119,1.081837,0.071079,1.089194,-0.006857,-0.027504,-0.013176,0.999511,soldier,272,321,237,364,0.945955,10.028396,0.107043,0.000000
1628079694.674787,120,1.138802,0.058869,1.090166,-0.005465,-0.031032,-0.008301,0.999469,soldier,278,328,245,359,0.991483,9.955521,0.089030,0.000000
1628079694.741449,121,1.210808,0.053747,1.088767,-0.005949,-0.029207,-0.006165,0.999537,soldier,284,332,244,372,0.991109,10.031008,0.050323,0.000000
1628079694.808116,122,1.252937,0.058140,1.087359,-0.008675,-0.027819,-0.003184,0.999570,soldier,285,334,244,372,0.990099,10.071871,0.080649,0.000000
1628079694.874779,123,1.312061,0.057469,1.090284,-0.012066,-0.026246,-0.000308,0.999583,soldier,289,338,235,372,0.993734,10.125813,0.058463,0.000000
1628079694.941450,124,1.376587,0.060084,1.095879,-0.011727,-0.023582,0.001291,0.999652,soldier,294,341,231,377,0.990649,10.063175,0.043008,0.000000
1628079695.008120,125,1.424793,0.064599,1.096920,-0.010737,-0.023932,0.001268,0.999655,soldier,297,344,233,370,0.964914,10.110629,0.003171,0.000000
1628079695.074787,126,1.500713,0.071569,1.093084,-0.007196,-0.025660,-0.002380,0.999642,soldier,298,344,232,371,0.986038,10.185836,-0.048818,0.000000
1628079695.141443,127,1.543810,0.075183,1.090382,-0.005913,-0.025561,-0.005812,0.999639,soldier,294,343,226,381,0.973966,10.108102,-0.079023,0.000000
1628079695.208128,128,1.601745,0.081387,1.087874,-0.006882,-0.027783,-0.011202,0.999528,soldier,289,339,228,374,0.992004,10.044917,-0.095211,0.000000
1628079695.274802,129,1.660623,0.089135,1.086190,-0.007277,-0.027355,-0.015721,0.999476,soldier,284,333,229,376,0.989580,9.989638,-0.095390,0.000000
1628079695.341468,130,1.701698,0.093798,1.087057,-0.005953,-0.024919,-0.019443,0.999483,soldier,278,329,239,369,0.994376,10.031450,-0.086263,0.000000
1628079695.408136,131,1.752772,0.105083,1.081236,-0.005626,-0.026665,-0.020799,0.999412,soldier,272,325,232,370,0.986314,10.084432,-0.009112,0.000000
1628079695.474789,132,1.759621,0.095876,1.085056,-0.005265,-0.026536,-0.020109,0.999432,soldier,271,323,230,375,0.985947,10.093411,0.015107,0.000000
1628079695.541451,133,1.847520,0.099015,1.083363,-0.005398,-0.022712,-0.021603,0.999494,soldier,272,322,226,377,0.986950,10.178700,-0.007025,0.000000
1628079695.608121,134,1.899738,0.097991,1.080255,-0.004575,-0.023418,-0.021784,0.999478,soldier,271,322,227,372,0.961735,10.007643,-0.006844,0.000000
1628079695.674780,135,1.955999,0.098337,1.074823,-0.005413,-0.022661,-0.018670,0.999554,soldier,270,322,227,372,0.930109,10.063956,0.043124,0.000000
